job,customer_count,avg_balance,total_balance,deposit_yes_count,deposit_conversion_rate,dt,run_id
admin.,1245,1300.8658634538153,1619578,600,48.19,2025-11-29 00:00:00+00:00,daily_pipeline_2025-11-29T15:27:25.854193+00:00
blue-collar,1733,1381.6376226197347,2394378,649,37.45,2025-11-29 00:00:00+00:00,daily_pipeline_2025-11-29T15:27:25.854193+00:00
entrepreneur,301,1805.3554817275747,543412,110,36.54,2025-11-29 00:00:00+00:00,daily_pipeline_2025-11-29T15:27:25.854193+00:00
housemaid,265,1428.6603773584907,378595,108,40.75,2025-11-29 00:00:00+00:00,daily_pipeline_2025-11-29T15:27:25.854193+00:00
management,2457,1893.1245421245421,4651407,1278,52.01,2025-11-29 00:00:00+00:00,daily_pipeline_2025-11-29T15:27:25.854193+00:00
retired,755,2499.912582781457,1887434,508,67.28,2025-11-29 00:00:00+00:00,daily_pipeline_2025-11-29T15:27:25.854193+00:00
self-employed,387,1972.640826873385,763412,180,46.51,2025-11-29 00:00:00+00:00,daily_pipeline_2025-11-29T15:27:25.854193+00:00
services,844,1208.867298578199,1020284,337,39.93,2025-11-29 00:00:00+00:00,daily_pipeline_2025-11-29T15:27:25.854193+00:00
student,360,1500.7833333333333,540282,269,74.72,2025-11-29 00:00:00+00:00,daily_pipeline_2025-11-29T15:27:25.854193+00:00
technician,1714,1678.3943990665111,2876768,807,47.08,2025-11-29 00:00:00+00:00,daily_pipeline_2025-11-29T15:27:25.854193+00:00
unemployed,343,1377.8250728862974,472594,199,58.02,2025-11-29 00:00:00+00:00,daily_pipeline_2025-11-29T15:27:25.854193+00:00
unknown,70,1945.4571428571428,136182,34,48.57,2025-11-29 00:00:00+00:00,daily_pipeline_2025-11-29T15:27:25.854193+00:00
